Running 3PK...
SOLNP+--> The user does not provided gradient function of cost in the fun structure. 
SOLNP+--> SOLNP uses zero-order method instead.
SOLNP+--> Iteration 1: obj = 4.2158e+03, infeasibility = 0.0000e+00
SOLNP+--> Iteration 2: obj = 1.3975e+01, infeasibility = 0.0000e+00
SOLNP+--> Iteration 3: obj = 4.6305e+00, infeasibility = 0.0000e+00
SOLNP+--> Iteration 4: obj = 3.1673e+00, infeasibility = 0.0000e+00
SOLNP+--> Iteration 5: obj = 2.9371e+00, infeasibility = 0.0000e+00
SOLNP+--> Iteration 6: obj = 2.3563e+00, infeasibility = 0.0000e+00
SOLNP+--> Iteration 7: obj = 2.2530e+00, infeasibility = 0.0000e+00
SOLNP+--> Iteration 8: obj = 1.9726e+00, infeasibility = 0.0000e+00
SOLNP+--> Iteration 9: obj = 1.9711e+00, infeasibility = 0.0000e+00
SOLNP+--> Success! Completed in 10 iterations
         The infeasibility is 0.000000e+00.
SOLNP+--> SOLNP finished.
obj history: [2.02365385e+04 4.21579004e+03 1.39748256e+01 4.63054864e+00
 3.16732402e+00 2.93709348e+00 2.35634526e+00 2.25298595e+00
 1.97259971e+00 1.97113031e+00]


Running ARGAUSS...
SOLNP+--> The user does not provided gradient function of cost in the fun structure. 
SOLNP+--> SOLNP uses zero-order method instead.
SOLNP+--> Iteration 1: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 2: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 3: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 4: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 5: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 6: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 7: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 8: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 9: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 10: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 11: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 12: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 13: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 14: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 15: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 16: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 17: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 18: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 19: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 20: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 21: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 22: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 23: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 24: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 25: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 26: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 27: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 28: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 29: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 30: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 31: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 32: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 33: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 34: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 35: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 36: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 37: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 38: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 39: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 40: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 41: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 42: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 43: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 44: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 45: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 46: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 47: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 48: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 49: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 50: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 51: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 52: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 53: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 54: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 55: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 56: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 57: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 58: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 59: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 60: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 61: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 62: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 63: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 64: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 65: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 66: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 67: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 68: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 69: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 70: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 71: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 72: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 73: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 74: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 75: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 76: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 77: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 78: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 79: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 80: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 81: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 82: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 83: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 84: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 85: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 86: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 87: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 88: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 89: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 90: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 91: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 92: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 93: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 94: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 95: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 96: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 97: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 98: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 99: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 100: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 101: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 102: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 103: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 104: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 105: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 106: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 107: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 108: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 109: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 110: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 111: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 112: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 113: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 114: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 115: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 116: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 117: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 118: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 119: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 120: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 121: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 122: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 123: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 124: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 125: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 126: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 127: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 128: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 129: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 130: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 131: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 132: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 133: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 134: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 135: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 136: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 137: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 138: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 139: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 140: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 141: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 142: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 143: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 144: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 145: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 146: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 147: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 148: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 149: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 150: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 151: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 152: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 153: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 154: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 155: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 156: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 157: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 158: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 159: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 160: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 161: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 162: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 163: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 164: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 165: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 166: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 167: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 168: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 169: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 170: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 171: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 172: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 173: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 174: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 175: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 176: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 177: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 178: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 179: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 180: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 181: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 182: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 183: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 184: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 185: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 186: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 187: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 188: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 189: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 190: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 191: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 192: obj = inf, infeasibility = 1.9718e-03
