problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
3PK,30,0,True,1.8171630275393962,0.0,119,0.021446704864501953,3,Function tolerance reached
A4X12,115,385,False,0.0,1.0,209,30.302679777145386,6,Infeasible solution
ACOPP118,344,608,False,0.0,87.03062002068052,44,31.64637541770935,6,Infeasible solution
ACOPP14,38,68,False,nan,nan,nan,nan,,Optimization error: 
ACOPP30,72,142,False,2.4673306753950265e-07,2.4897633655422045,230,4.9257683753967285,4,Infeasible solution
ACOPP57,128,274,False,nan,nan,nan,nan,,Optimization error: 
ACOPR118,344,726,False,0.0,13.44453474989846,36,32.2097704410553,6,Infeasible solution
ACOPR14,38,82,False,nan,nan,nan,nan,,Optimization error: 
ACOPR30,72,172,False,0.0,0.6707690582703318,41,1.5594992637634277,4,Infeasible solution
ACOPR57,128,331,False,0.0,7.443754851643711,47,6.604423999786377,4,Infeasible solution
AGG,163,488,False,0.0,3222804.5001464174,100,30.702104568481445,6,Infeasible solution
AIRCRFTA,5,5,False,0.0,2.8394033246441057,3,0.00034737586975097656,3,Infeasible solution
AIRCRFTB,5,0,True,1.5457944371919865e-12,0.0,38,0.0007212162017822266,3,Function tolerance reached
AIRPORT,84,42,False,0.0,259.290464076487,3,0.04253029823303223,3,Infeasible solution
AKIVA,2,0,True,6.16604407018632,0.0,18,0.000446319580078125,3,Function tolerance reached
ALLINIT,3,0,False,nan,nan,nan,nan,,Optimization error: 
ALLINITA,3,4,False,nan,nan,nan,nan,,Optimization error: 
ALLINITC,3,1,False,nan,nan,nan,nan,,Optimization error: 
ALLINITU,4,0,True,5.744385659543846,0.0,16,0.0003082752227783203,3,Function tolerance reached
ALSOTAME,2,1,False,nan,nan,nan,nan,,Optimization error: 
ANTWERP,27,10,False,nan,nan,nan,nan,,Optimization error: 
ARGAUSS,3,15,True,0.0,0.0050469211175840885,51,0.008784294128417969,3,Function tolerance reached
ARGLALE,200,400,False,0.0,14.142135623730976,70,23.82655143737793,3,Infeasible solution
