problem,n,m,status,obj,constraint,iter,count_cost,total_time,message
3PK,30,0,0,4.590585113689713,0.0,4,1011,0.01381230354309082,
A4X12,115,385,0,0.0,1.0,5,1084,0.44733190536499023,
ACOPP118,344,608,0,148518.83067008713,0.4213626324185278,1,1035,0.5817041397094727,
ACOPP14,38,68,1,9086.019363634612,3.494877950297135e-10,5,1028,0.03851580619812012,
ACOPP30,72,142,0,587.0833743360172,0.01823820233684456,3,1039,0.08931112289428711,
ACOPP57,128,274,0,43722.07657493804,0.21912586128516293,1,1034,0.24724650382995605,
ACOPR118,344,726,0,171609.338023468,15.186403405023183,2,1037,0.8823919296264648,
ACOPR14,38,82,-3,13212.615257502,3.866868190163715,6,521,0.030172109603881836,
ACOPR30,72,172,0,579.3724090960995,0.034041745324758586,2,1031,0.13160920143127441,
ACOPR57,128,331,0,33527.10693311946,7.5466133914557965,4,1054,0.24645066261291504,
AGG,163,488,0,1.0131450000000001e+23,5.5658283452411364e+22,3,1000,0.4772355556488037,
AIRCRFTA,5,5,1,0.0,6.317149879448152e-07,19,269,0.009537935256958008,
AIRCRFTB,5,0,1,1.3414829879048698e-06,0.0,3,152,0.0044667720794677734,
AIRPORT,84,42,0,4.100000000000002e-09,259.29040014826296,6,1070,0.05607724189758301,
AKIVA,2,0,-3,-inf,0.0,6,88,0.004444599151611328,
ALLINIT,3,0,1,3.906249998437381e+117,0.0,6,91,0.004101991653442383,
ALLINITA,3,4,-3,3.906249998437501e+117,3.535533905932738e+39,6,101,0.009932279586791992,
ALLINITC,3,1,-3,3.90625e+157,2.5e+39,6,61,0.0046138763427734375,
ALLINITU,4,0,1,5.744385006772456,0.0,2,51,0.004712104797363281,
ALSOTAME,2,1,1,0.08208595928053534,1.8385293287792592e-13,4,46,0.0035097599029541016,
ANTWERP,27,10,0,2.0948876510982294e+41,1.2807160305304748,16,1018,0.02329111099243164,
ARGAUSS,3,15,0,0.0,0.00010686694373630285,76,1000,0.04410696029663086,
ARGLALE,200,400,0,0.0,14.142155704220515,4,1005,2.1372179985046387,
ARGLBLE,200,400,0,0.0,9.981256754713172,3,1005,0.5125837326049805,
ARGLCLE,200,399,0,-1.0,10.006271563093485,3,1005,0.3796839714050293,
ARGLINA,200,0,1,200.0000000075905,0.0,2,1007,0.08808040618896484,
ARGLINB,200,0,1,8651224509960400.0,0.0,5,1050,0.09402751922607422,
ARGLINC,200,0,1,8352671057963401.0,0.0,5,1050,0.0910036563873291,
ARGTRIG,200,200,0,0.0,0.003729998163114731,3,1009,0.14710259437561035,
ARGTRIGLS,200,0,1,66.33150418212404,0.0,5,1050,0.06172609329223633,
ARWHDNE,500,998,0,0.0,13.968543963204283,1,1002,1.4489688873291016,
AVGASA,8,10,0,nan,0.0,37,1000,0.02125716209411621,
AVGASB,8,10,0,nan,0.0,37,1000,0.021499156951904297,
AVION2,49,15,0,216117490.33386955,0.000638056429583592,2,1000,0.028344154357910156,
BA-L1,57,12,1,0.0,1.645242507151804e-10,4,697,0.031116008758544922,
BA-L1LS,57,0,1,127376.85139337697,0.0,6,415,0.015593528747558594,
BA-L1SP,57,12,1,0.0,3.121662548302438e-10,4,649,0.031028032302856445,
BA-L1SPLS,57,0,1,127376.85120444256,0.0,6,415,0.014255046844482422,
BARD,3,0,1,0.01231335763000487,0.0,3,77,0.0037698745727539062,
BARDNE,3,15,0,0.0,0.09417706674513956,80,1002,0.037225961685180664,
BATCH,48,73,0,183397.93498049988,1907.6359636386405,10,1021,0.037384033203125,
BEALE,2,0,1,7.513242598279658e-09,0.0,3,54,0.004881381988525391,
BEALENE,2,3,0,0.0,3.1342821070960923e-06,85,1000,0.01891303062438965,
BENNETT5,3,154,0,0.0,0.023172832666159663,80,1000,1.5911757946014404,
BENNETT5LS,3,0,-3,65993.74648815148,0.0,12,133,0.00602412223815918,
BIGGS3,3,0,1,2.45662340343161e-07,0.0,3,65,0.007382631301879883,
BIGGS5,5,0,1,0.010645052971344982,0.0,4,198,0.007077217102050781,
BIGGS6,6,0,1,0.006334046655149186,0.0,5,214,0.006263256072998047,
BIGGS6NE,6,13,0,0.0,0.011370361705143302,54,1000,0.02753472328186035,
BIGGSC4,4,7,1,-24.49977406806791,0.0,3,66,0.009783029556274414,
BLEACHNG,9,0,1,18236.29245869989,0.0,8,275,47.117371797561646,
BOOTH,2,2,0,0.0,6.466258258535332e-06,82,1000,0.027685880661010742,
BOX2,2,0,1,2.7336502265072947e-05,0.0,2,39,0.004499673843383789,
BOX3,3,0,1,1.171775496379176e-06,0.0,2,38,0.004229068756103516,
BOX3NE,3,10,0,0.0,2.6367940837804296e-06,82,1000,0.0337979793548584,
BOXBOD,2,6,-3,0.0,431.72012503757804,6,49,0.013002157211303711,
BOXBODLS,2,0,1,9771.50000000015,0.0,2,31,0.00507664680480957,
BQP1VAR,1,0,1,9.059518843993886e-06,0.0,2,21,0.00429844856262207,
BQPGABIM,46,0,1,-9.716600000000001e-07,0.0,1,49,0.004475116729736328,
BQPGASIM,50,0,1,-6.812079040235239e-06,0.0,1,53,0.004156351089477539,
BRANIN,2,0,1,0.3978873602074965,0.0,2,36,0.004312992095947266,
BRITGAS,450,360,0,5.460675360081967e+20,2.0408556558875023e+55,2,1355,0.18653535842895508,
BRKMCC,2,0,1,0.1690426846395982,0.0,2,26,0.004892110824584961,
BROWNAL,200,0,1,2009949.5420478897,0.0,5,1050,0.05508995056152344,
BROWNALE,200,200,0,0.0,0.019236237796497836,3,1005,0.13855981826782227,
BROWNBS,2,0,1,24.069470580941697,0.0,9,153,0.0052623748779296875,
BROWNBSNE,2,3,0,0.0,349631.4226588555,92,1000,0.0194699764251709,
BROWNDEN,4,0,1,7926683.1543114465,0.0,6,97,0.005240201950073242,
BROWNDENE,4,20,0,0.0,554.8355464648337,82,1000,0.03402066230773926,
BT1,2,1,1,-0.9999999998563349,1.3180525006548155e-12,14,178,0.006263256072998047,
BT10,2,2,0,-1.000002905060295,2.4511470343487136e-06,86,1000,0.019217967987060547,
BT11,5,3,1,0.8249856266823254,8.609938312075799e-07,6,163,0.009305238723754883,
BT12,5,3,1,6.205092637728609,2.9797370331864273e-07,5,148,0.01357722282409668,
BT13,5,1,1,-1.1364180351495114e-29,1.8639015655462386e-07,38,825,0.011320352554321289,
